NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF;
<color=#D09B61FF><color=#D09B61FF>Bitheonach neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bithscaglann</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>blaosc</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bleachtphiseán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bloic aolchloiche</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bloic eibhir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bloic gaineamhchloiche</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bloic marmair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bloic scláta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bogha athchuartha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bogha gearr</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bogha mór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord (1x2)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord (2x2)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord (2x4)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord (3x3)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord beag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord búistéireachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord fichille</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord pócair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord snúcair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bord tailliúra leictreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bosca codlata ainmhí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bosca uibheacha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>braiteoir cóngarachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>braiteoirí spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>brat deataigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bríste</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bríste piléardhíonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bruithneoir leictreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>bruscar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>buamáil</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cachtas pioncáis</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cachtas saguaró</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cadás</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>caille</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>caisearbhán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>campa tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>canóin loiscneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>caonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cathaoir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cathaoir uilleach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceacróipe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceallra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceallra (trí thine)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Ceallra vanaiméadreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceannbheart traidisiúnta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceárta breoslaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceárta leictreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ceimi-pheitreal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cladán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>claíomh fada</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>claíomh gearr</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cleith</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clóca</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clocha balctha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clogad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clogad saighdiúra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clogad síceach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clogad simplí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>clogad taiscéalaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cluas bhitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cluas chaoine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cluiche na bhfáinní</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cluiche na gcrúite capaill</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cluiche úr</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cobra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cochall</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cófra uirlisí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cógas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cógas geal-phláinéid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cógas luibhe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>coirceog</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>colún</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>comhpháirt ardleibhéil</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>comhpháirt neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>comhpháirt spásloinge (bonnán síceach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>comhpháirt spásloinge (dífhoraoiseoir)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>compháirt</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>compháirteanna meaisínre</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cónra criptea-chodlata</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cónra criptea-chodlata ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>consól cumarsáide</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cos arcai-theicneolaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cos bhitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cos phróistéiteach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>craiceann laghairte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crann</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crann cócó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crann dragain</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crann pailme</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crannóg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>créamatóiriam</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crios cosanta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crios neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>croí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>croí bitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>croí próistéiteach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>croí-chiorcad spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cruach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cruach balctha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>crúb chumhachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cruinnaimsitheoir: bombardú fithiseach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cruinnaimsitheoir: léasar fithiseach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cufróg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>cúr múchta tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dáileoir taois chothaithigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dealbh bheag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dealbh mhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Dealbh neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dealbh ollmhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>diabhalraithneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>domlas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>doras</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>doras ainmhithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>doras maisithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dreigít (ar an mbealach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>driseacha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>drisiúr</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dromlach bitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>druilire domhain</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>duán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>duilleoga raithní</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>duilleoga sícíte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>duine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dúradán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>dustar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>éadach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>éadach neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>éadach sintéiseach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>éadaí treibhe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>eibhear</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>eibhear mín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>faolchú liath</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>feadán teilifíseáin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>féar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>féar ard</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fear sneachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>féar tirim</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fíniúin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fuaraitheoir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fuaraitheoir neamhchumhachtaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fuil</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fuil feithide</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>fungas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gaineamh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gaineamhchloch</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gaineamhchloch mín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gaiste spící</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gaothaire</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>géasar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>geata</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>geo-scanóir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>giall bitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gineadóir adhmaid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gineadóir ceimi-peitril</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gineadóir geoiteirmeach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gineadóir síceach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gineadóir tornádó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>giorria sneachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>glóthach feithide</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gnáthleathan</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>goile bitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gránáid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gránáid leictreamaighnéadach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gránáidí leictreamaighnéadacha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gránghunna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gránghunna uathoibríoch</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>grianphainéal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gruaig</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>grúdlann</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gunna (túirín beag)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Gunna neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>gunnán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>hata buachaill bó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>hiperéadach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ikwa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>il-anailíseoir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Imibreoir ceimiceach infinideach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>imoibreoir spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>inneal spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>intleacht shaorga</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ionphlandú cochla</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ithir scaoilte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí deataigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí leictreamaighnéadach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí loiscneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí podanna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí roicéad ollmhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lainseálaí roicéad triarach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lámh arcai-theicneolaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lámh bitheonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lámh phróistéiteach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lampa ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lampa balla</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lampa gréine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lampa seasta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lansa pléascach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lansa síceach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lansa turrainge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lasc</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>láthair carbháin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>láthair cóisire</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leaba</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leaba ainmhí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leaba dhúbailte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leaba ospidéil</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leaba ríoga</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leabhragán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leabhragán beag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leacht cuimhneacháin ollmhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb aolchloiche</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb chruach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb eibhir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb gaineamhchloiche</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb marmair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb scláta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leadhb spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leannlusanna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>léas cumhachta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar daonna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar éadrom</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar eilifinte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar madra</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar srónbheannaigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>leathar trombó</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>léine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lile</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lile fhiáin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lochán ceimi-pheitril</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lochán uisce</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>luaithreach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>luibh leighis</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>lúicifiream</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mailp</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mála codlata</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mála codlata dúbailte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>málaí gainimh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>málaí gainimh scaipthe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>marcóir pionna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>marmar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>marmar mín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>más</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>masc cogaidh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Masc neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meaisínghunna beag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meaisínghunna ilbhairille</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meaisínghunna mór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meaisínphiostal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meaisínre ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meigeadhamhán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>meigeascarab</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mian airgid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mian óir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach deataigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach frithdhamhna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach leictreamaighnéadach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach loiscneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach múchta tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>mianach pléascach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>moirtéar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>molotov</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>monatóir leighis</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>muileann uisce</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>múisc</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>neodraimín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>olann alpaca</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>olann bhíosúin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>olann chaora</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>olann mheigea-spadáin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>olann mhubhaill</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>paca múchta tine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Paca neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>paistleathar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>parca</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>peanocsaicílín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>peimicean</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>péine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pianstopallán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>plaisti-mhiotal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>plaisti-mhiotal balctha</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pléasc (gránghunna)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pléascadh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod breoch</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod criptea-chodlata ársa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod criptea-chodlata spásloinge</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod iompair</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod iompair (ag imeacht)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pod iompair (ar an mbealach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>poibleog</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>poitín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pota plandaí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>prátaí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>preab-bhuama</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>preabghunna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Prostéiteach neamhchríochnaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>pumpa taise</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raidhfil boltála</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raidhfil ionsaithe</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raidhfil pléascach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raidhfil snípéara</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raiflíse mhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>raithneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>réabaire pléascach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>rís</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>róba</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>róba-mhúinteoir teicneolaíochta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>roicéad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>roicéad ollmhór</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>rós</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>ruaim</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>rud</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saighead (bogha athchuartha)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saighead (bogha gearr)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saighead (bogha mór)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saighead loiscneach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saileach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>salachar</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>salachar ainmhí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>saotharlann drugaí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sarcafagas</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scamhóg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>Scanóir fadraoin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scealp</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scéimléaráidí</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scian</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scláta</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scláta mín</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sconsa</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>scrathóg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seacláid</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>séad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seaicéad</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seaicéad piléardhíonach</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seilf</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seilf bheag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>séiream athbheoite</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>séiream sláinte</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe béir</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe camaill</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe éin</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe ghorm</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe liopaird</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe mic ghuine</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe mic tíre</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe shionnaigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe sinsile</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>seithe throm</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sícea-foirmeán</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sícít</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sinsile</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sionnach dearg</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>síothal</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>slag</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sleá</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sleánna</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán (canóin thine)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán (láinseálaí leictreamaighnéadach)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán (leanseálaí deataigh)</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán deataigh</color></color>;;;;
<color=#D09B61FF><color=#D09B61FF>sliogán EMP</color></color>;;;;
